                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0696,                 2.4184,                  1.243,                0.48806,                      1,                  0.745,                 0.3749,                 1.7064,                 2.1061,                 1.8747,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.3355,                 2.8303,                 1.4278,                0.60679,                      1,                0.82833,                0.41971,                 1.7079,                 2.5745,                  1.818,               0.000614,               0.000614,               0.000614
                     37,                 1.0312,                 2.4198,                 1.1237,                      1,                0.91303,                  0.995,                 0.5595,                 1.6332,                 2.3212,                 1.8009,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.3579,                 2.2699,                 1.4457,                      1,                0.91303,                  0.995,                 0.5595,                 1.6332,                 2.3212,                 1.8009,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.1992,                 2.3977,                 1.3826,                      1,                0.95921,                  0.995,                0.55533,                  1.611,                 2.0105,                 1.7786,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.2891,                 2.1352,                 1.4406,                      1,                  0.933,                  0.995,                0.54704,                 1.6876,                 1.8967,                  1.743,              0.0004556,              0.0004556,              0.0004556
                     41,                   1.09,                 1.7642,                 1.4303,                      1,                  0.933,                  0.995,                0.54704,                 1.6876,                 1.8967,                  1.743,               0.000416,               0.000416,               0.000416
                     42,                  1.123,                 1.6877,                 1.3519,                0.62155,                      1,                0.82833,                0.46371,                 1.6724,                  1.845,                 1.7277,              0.0003764,              0.0003764,              0.0003764
                     43,                 1.0226,                 1.6556,                 1.2992,                0.62881,                      1,                0.82833,                0.46371,                  1.663,                 1.8002,                 1.7296,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.0337,                 1.6885,                 1.3556,                0.62881,                      1,                0.82833,                0.46371,                  1.663,                 1.8002,                 1.7296,              0.0002972,              0.0002972,              0.0002972
                     45,                0.95037,                 1.6598,                 1.2403,                0.61968,                      1,                0.82833,                0.46371,                 1.6564,                 1.7609,                 1.7116,              0.0002576,              0.0002576,              0.0002576
                     46,                0.90461,                 1.6312,                 1.2182,                      1,                0.92006,                  0.995,                0.48038,                 1.6024,                 1.7957,                 1.6959,               0.000218,               0.000218,               0.000218
                     47,                0.93315,                  1.591,                 1.2979,                      1,                0.92006,                  0.995,                0.48038,                 1.6024,                 1.7957,                 1.6959,              0.0001784,              0.0001784,              0.0001784
                     48,                 1.0193,                 1.6424,                 1.3432,                0.61663,                      1,                0.82833,                 0.5209,                 1.5966,                  1.803,                 1.6829,              0.0001388,              0.0001388,              0.0001388
                     49,                0.91898,                  1.576,                  1.294,                      1,                0.96024,                  0.995,                0.59658,                 1.5514,                 1.7812,                 1.6727,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 0.8987,                 1.6201,                 1.2389,                      1,                0.96024,                  0.995,                0.59658,                 1.5514,                 1.7812,                 1.6727,               5.96e-05,               5.96e-05,               5.96e-05
